Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,25.26,47.03,752.2
2006,25.43,50.95,1169.2
2007,25.48,50.05,806.5
2008,25.25,48.18,791.1
2009,26.11,50.82,877
2010,26.01,51.12,776.3
2011,24.86,50.45,1063.9
2012,25.13,48.07,1035.2
2013,24.69,54.8,1396.3
2014,25.43,53.93,864.9
2015,25.47,51.29,1042.3
