Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,26.75,62.28,1221.3
2006,27.25,65.36,1395.7
2007,27.52,64.63,1040.4
2008,26.81,65.5,916.9
2009,27.63,67.23,941.7
2010,27.49,70.09,1027.5
2011,27.05,67.54,852.6
2012,26.83,66.61,689.8
2013,26.54,67.95,962.4
2014,27.4,66.9,838
2015,27.32,65.55,644.5
