Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,26.21,56.98,1221.6
2006,26.31,56.29,1159.6
2007,26.59,53.41,1099.2
2008,26.74,52.5,1107.5
2009,26.88,47.33,790.5
2010,27.12,53.55,1712.4
2011,26.59,48.41,861.9
2012,27.01,49.95,1318.4
2013,26.6,52.04,1120.5
2014,26.93,48.94,874.9
2015,27.32,49.07,1010.9
