Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,25.52,61.01,770.3
2006,24.1,58.13,632.1
2007,23.51,58.84,741.2
2008,24.59,66.09,953.4
2009,25.31,61.37,610.2
2010,25.37,64.58,820.7
2011,24.24,67.81,781.2
2012,24.5,61.71,602.7
2013,23.92,68.34,1041.4
2014,23.9,64.54,701.2
2015,25.23,63.5,603.3
