Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,22,64.2,552
2006,23,64.6,647.7
2007,22.5,66.7,594.8
2008,22,68.3,717.1
2009,23,64,361.2
2010,23.4,63.6,451.5
2011,23,68.07,705.2
2012,22.8,66.05,493.6
2013,23,74.46,586.6
2014,22.3,70.6,382.7
2015,22.3,71.06,510.8
