Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,24.75,48.14,567.9
2006,25.83,50.34,748.4
2007,25.17,49.42,575.7
2008,25.27,49.83,644.6
2009,26.66,43.1,414.1
2010,26.27,51.15,689.4
2011,25.43,52.17,802.1
2012,25.45,48.4,693.6
2013,25.6,50.91,836.1
2014,26.13,48.33,683.3
2015,26.03,48.7,650.7
