Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,26.66,54.15,1316.4
2006,27.28,58.22,1478
2007,27.53,55.98,1178.9
2008,27.18,52.37,911.1
2009,28.2,53.15,641.6
2010,28.23,52.68,1088.7
2011,27.83,52.77,890.5
2012,27.38,58.44,714
2013,27.07,55.13,1118.6
2014,27.74,53.56,705.7
2015,28.01,52.82,622.9
