Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,25.93,59.62,907.8
2006,25.37,59.96,1052.8
2007,25,63.44,1600.2
2008,25.28,63.72,1197.7
2009,25.94,57.67,889.3
2010,26.38,58.58,629.2
2011,24.78,63.81,1097.1
2012,25.56,59.9,1032.4
2013,25.22,61.03,1069.9
2014,24.96,63.04,1061
2015,25.65,61.86,872.7
