Year,Annual Mean Temperature,Annual Mean Humidity,Annual Mean Rainfall
2005,26.86,74.08,1604.9
2006,27.01,71.25,1660.5
2007,26.57,72.37,1941.4
2008,26.42,75.69,1555.2
2009,27.06,72.13,1315
2010,27.21,73.41,1064.8
2011,26.53,73.15,1686.5
2012,26.87,72.54,1268
2013,26.64,73.75,1764.1
2014,26.86,72.84,1261.4
2015,26.99,74.09,1530.3
